Christopher McNealy, 15/07/1961, Fresno, CA, 00/00/0000
Michael Levin Anderson, 23/03/1966, Philadelphia, PA, 00/00/0000
John Graham Kerr, 17/08/1932, Chicago, IL, 26/02/2009
John Earl Simmons, 07/07/1924, Birmingham, AL, 01/08/2008
Allen Ezail Iverson, 07/06/1975, Hampton, VA, 00/00/0000
Brian Lee Cardinal, 02/05/1977, Tolono, IL, 00/00/0000
Chris Ray Wilcox, 03/08/1982, Raleigh, NC, 00/00/0000
Estes Foster Parham, 27/12/1921, Fort Worth, TX, 00/00/0000
Glen Michael Gondrezick, 30/08/1955, Boulder, CO, 27/04/2009
Clinton Renard Moore, 04/11/1975, Orangeburg, SC, 00/00/0000
Thomas Ernest Sanders, 08/11/1938, Brooklyn, NY, 00/00/0000
Ralph A. Jackson, 26/10/1962, Los Angeles, CA, 00/00/0000
Randell Jackson, 16/01/1976, Boston, MA, 00/00/0000
Christopher Sean Robinson, 02/04/1974, Columbus, GA, 00/00/0000
Eddie Hughes, 26/05/1960, Greenville, MS, 00/00/0000
Phil Jackson Ford, 09/02/1956, Rocky Mount, NC, 00/00/0000
Richard Wayne Dumas, 19/05/1969, Tulsa, OK, 00/00/0000
Richard Allen Jefferson, 21/06/1980, Los Angeles, CA, 00/00/0000
James G. Palmer, 08/06/1933, Keokee, VA, 00/00/0000
David Leroy Wood, 30/11/1964, Spokane, WA, 00/00/0000
Melvin Harrison Turpin, 28/12/1960, Lexington, KY, 08/07/2010
Samuel Keith Williams, 07/03/1959, Los Angeles, CA, 00/00/0000
Donald Adam Royal, 22/05/1966, New Orleans, LA, 00/00/0000
Charles Edward Shackleford, 22/04/1966, Kinston, NC, 00/00/0000
Edward John Bartels, 08/10/1925, New York, NY, 04/11/2007
Brian Joseph Winters, 01/03/1952, Rockaway, NY, 00/00/0000
Ned R. Endress, 02/03/1918, Akron, OH, 19/06/2010
Richard J. Bunt, 13/07/1930, New York, NY, 00/00/0000
Ovinton J'Anthony Mayo, 05/11/1987, Huntington, WV, 00/00/0000
John Stroeder, 24/07/1958, Bremerton, WA, 00/00/0000
Charles Jenkins, 28/02/1989, Brooklyn, NY, 00/00/0000
Kevin Brooks, 12/10/1969, Beaufort, SC, 00/00/0000
James Thomas Grandholm, 04/10/1960, Elkhart, IN, 00/00/0000
Gary G. Suiter, 18/01/1945, Albuquerque, NM, 23/10/1982
Luther Rackley, 11/06/1946, Bainbridge, GA, 00/00/0000
Orlando Vernada Woolridge, 16/12/1959, Bernice, LA, 31/05/2012
John Edward Phelan, 06/11/1925, Chicago, IL, 00/00/0000
James J. Phelan, 19/03/1929, Philadelphia, PA, 00/00/0000
James Homer, 00/00/0000, Columbus, GA, 00/00/0000
Jerry Smith, 26/09/1987, Wauwatosa, WI, 00/00/0000
Daniel W. Anderson, 15/02/1943, Minneapolis, MN, 00/00/0000
Roderick Allen Foster, 10/10/1960, Birmingham, AL, 00/00/0000
David Benoit, 09/05/1968, Lafayette, LA, 00/00/0000
Darrell Gerard Augustin, 10/11/1987, New Orleans, LA, 00/00/0000
Cleo Hill, 24/05/1938, Newark, NJ, 00/00/0000
Clarence William Jones, 18/03/1966, Detroit, MI, 00/00/0000
Jordan Craig  Hill, 27/07/1987, Atlanta, GA, 00/00/0000
Dante Cunningham, 22/04/1987, Clinton, MD, 00/00/0000
Donald Whiteside, 25/04/1969, Chicago, IL, 00/00/0000
James Clifford Pollard, 09/07/1922, Oakland, CA, 22/01/1993
Charles Goodrich Nevitt, 13/06/1959, Cortez, CO, 00/00/0000
Rudolph White, 23/06/1953, Silver City, NM, 00/00/0000
Armon Deshawn Johnson, 23/02/1989, Chicago, IL, 00/00/0000
Arnitz L. Johnson, 17/05/1920, Gonvick, MN, 00/00/0000
Reginald D. Smith, 21/08/1970, San Jose, CA, 00/00/0000
Gary Neal, 03/10/1984, Baltimore, MD, 00/00/0000
Robert John Pack, 03/02/1969, New Orleans, LA, 00/00/0000
Ermer Buster Robinson, 24/11/1922, , OK, 29/12/1982
Armand Arthur Cure, 07/08/1919, New Bedford, MA, 28/11/2003
Carlton Lamont McCray, 08/02/1960, Mount Vernon, NY, 00/00/0000
Gerald Green, 26/01/1986, Houston, TX, 00/00/0000
Irving Bemoras, 18/11/1930, Chicago, IL, 01/11/2007
Robert Terrell Cummings, 15/03/1961, Chicago, IL, 00/00/0000
Frederick Robert Robey, 30/01/1956, Coral Gables, FL, 00/00/0000
Tommy G. Boswell, 02/10/1953, Montgomery, AL, 00/00/0000
Daniel E. Sparks, 17/04/1945, Bloomington, IN, 00/00/0000
Ryan Anthony Gomes, 01/09/1982, Waterbury, CT, 00/00/0000
James Caron Butler, 13/03/1980, Racine, WI, 00/00/0000
Walter Berry, 14/05/1964, New York, NY, 00/00/0000
Donald Eugene Phillips, 25/10/1948, Livingston, TX, 00/00/0000
Bradley Lee Daugherty, 19/10/1965, Black Mountain, NC, 00/00/0000
George Albert Peeples, 30/10/1943, ?, GA, 00/00/0000
Chukwuemeka Noubuisi Okafor, 28/09/1982, Houston, TX, 00/00/0000
John Russell Morrison, 02/05/1945, (ht) Roselle Park, NJ, 00/00/0000
Billy Harris, 21/11/1951, Chicago, IL, 03/01/2010
James M. O'Brien, 07/11/1951, Falls Church, VA, 00/00/0000
Theodore Reginald Strong, 02/01/1914, South Bend, IN, 01/03/1978
James J. O'Brien, 09/04/1949, New York, NY, 00/00/0000
John P. Berberich, 08/04/1938, Los Angeles, CA, 19/06/2002
Robert M. Hahn, 25/08/1925, (ht) Ann Arbor, MI, 28/07/2009
Keith McLeod, 05/11/1979, Canton, OH, 00/00/0000
Robert Douglas Brown, 24/09/1984, Los Angeles, CA, 00/00/0000
Douglas Keith Roth, 24/08/1967, Knoxville, TN, 00/00/0000
Glenn E. Mosley, 26/12/1955, Newark, NJ, 00/00/0000
Lazar Miller Hayward, 26/11/1986, Buffalo, NY, 00/00/0000
Thermon Talmadge Blacklidge, 19/03/1920, Moselle, MS, 06/07/1972
